127.0.0.1 - - [19/Aug/2023:16:23:06 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:23:38 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:23:38 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:23:38 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:24:37 +0000] "GET /medicine//cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:24:55 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:24:57 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:24:57 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:24:57 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:24:57 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/json/data/admin/all/products?_=1692462302370 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/resources/images/PRDBEAB93078C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/resources/images/PRD4A2927181B.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/resources/images/PRD3016706C1D.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/resources/images/PRD5C7C62CE9E.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:02 +0000] "GET /medicare/resources/images/PRD88116AEAB1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:05 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:05 +0000] "GET /medicare/json/data/all/products?_=1692462305843 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:16 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:16 +0000] "GET /medicare/json/data/admin/all/products?_=1692462316408 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:43 +0000] "GET /medicare//cart/checkout HTTP/1.1" 403 1931
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:49 +0000] "GET /medicare/cart/checkout HTTP/1.1" 403 1931
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:54 +0000] "GET /medicare/cart/checkout HTTP/1.1" 403 1931
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:55 +0000] "GET /medicare/cart/checkout HTTP/1.1" 403 1931
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:56 +0000] "GET /medicare/cart/checkout HTTP/1.1" 403 1931
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare//cart/checkout HTTP/1.1" 403 1931
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare/json/data/admin/all/products?_=1692462357451 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7293
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare/json/data/all/products?_=1692462357596 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:57 +0000] "GET /medicare/json/data/admin/all/products?_=1692462357817 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:58 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:58 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:58 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:58 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:25:58 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:26:17 +0000] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:26:17 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:26:37 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:26:37 +0000] "GET /medicare/login?error HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:41 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:41 +0000] "GET /medicare/ HTTP/1.1" 200 11075
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:41 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:41 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:44 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:44 +0000] "GET /medicare/json/data/all/products?_=1692462464724 HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:47 +0000] "GET /medicare/cart/add/1/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:47 +0000] "GET /medicare/cart/show?result=added HTTP/1.1" 200 9400
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:53 +0000] "GET /medicare/cart/validate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:53 +0000] "GET /medicare/cart/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:27:53 +0000] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:28:32 +0000] "GET /medicare/cart/checkout?execution=e1s1&_eventId_pay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:28:32 +0000] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 7510
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:28:42 +0000] "GET /medicare/cart/checkout?execution=e1s1&_eventId_addressSelection&shippingId=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:28:42 +0000] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 200 6279
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:28:51 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 200 5841
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:29:08 +0000] "GET /medicare/resources/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:53:09 +0000] "GET /medicare//cart/checkout?execution=e1s2&_eventId_payaaabbb123qweasd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:53:09 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:27:10 +0000] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:27:10 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:27:11 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:27:19 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:27:19 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:27:19 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:30:19 +0000] "GET /medicare//cart/checkout?execution=e1s2&_eventId_payaaabbb123qweasd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:30:19 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:43:51 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay/PMAK-64e0eebd7dcd18003fcdb09e-0c9099f22580ce7fc1d639d3d9be58962e&PMAK-64e0eebd7dcd18003fcdb09e-0c9099f22580ce7fc1d639d3d9be58962e=apikey HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:43:51 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:47:12 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay/PMAK-64e0eebd7dcd18003fcdb09e-0c9099f22580ce7fc1d639d3d9be58962e&PMAK-64e0eebd7dcd18003fcdb09e-0c9099f22580ce7fc1d639d3d9be58962e=apikey HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:47:12 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:53:30 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay/PMAK-64e0eebd7dcd18003fcdb09e-0c9099f22580ce7fc1d639d3d9be58962e&PMAK-64e0eebd7dcd18003fcdb09e-0c9099f22580ce7fc1d639d3d9be58962e=apikey HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:53:30 +0000] "GET /medicare/login HTTP/1.1" 200 3923
